# V (a.u.^3)  Helmholtz Free Energy (Ry.)
# T= 0.000000 K
# T= 4100.000000 K
 188.4475     -1.242257991
 183.1165     -1.242804092
 177.8865     -1.241824273
 172.7240     -1.239308302
 167.6965     -1.236881153
 162.7700     -1.231289677
 153.2210     -1.217876667
 144.0095     -1.195351141
 135.2030     -1.164770809
 126.7675     -1.120479384
 118.6695     -1.061566709
 110.9430     -0.985885451
# T= 4200.000000 K
 188.4475     -1.255046913
 183.1165     -1.255453117
 177.8865     -1.254324955
 172.7240     -1.251645880
 167.6965     -1.249103900
 162.7700     -1.243357419
 153.2210     -1.229716162
 144.0095     -1.206968702
 135.2030     -1.176231726
 126.7675     -1.131783540
 118.6695     -1.072748248
 110.9430     -0.997009271
# T= 4300.000000 K
 188.4475     -1.267926129
 183.1165     -1.268192463
 177.8865     -1.266916004
 172.7240     -1.264073668
 167.6965     -1.261416939
 162.7700     -1.255515462
 153.2210     -1.241645919
 144.0095     -1.218676645
 135.2030     -1.187782912
 126.7675     -1.143177928
 118.6695     -1.084019769
 110.9430     -1.008222626
# T= 4400.000000 K
 188.4475     -1.280893543
 183.1165     -1.281020036
 177.8865     -1.279595323
 172.7240     -1.276589575
 167.6965     -1.273818178
 162.7700     -1.267761715
 153.2210     -1.253663847
 144.0095     -1.230472880
 135.2030     -1.199422279
 126.7675     -1.154660465
 118.6695     -1.095379195
 110.9430     -1.019523454
# T= 4500.000000 K
 188.4475     -1.293947154
 183.1165     -1.293933834
 177.8865     -1.292360910
 172.7240     -1.289191602
 167.6965     -1.286305616
 162.7700     -1.280094178
 153.2210     -1.265767950
 144.0095     -1.242355407
 135.2030     -1.211147835
 126.7675     -1.166229158
 118.6695     -1.106824543
 110.9430     -1.030909783
# T= 4600.000000 K
 188.4475     -1.307085052
 183.1165     -1.306931945
 177.8865     -1.305210854
 172.7240     -1.301877842
 167.6965     -1.298877345
 162.7700     -1.292510941
 153.2210     -1.277956320
 144.0095     -1.254322319
 135.2030     -1.222957674
 126.7675     -1.177882106
 118.6695     -1.118353918
 110.9430     -1.042379729
# T= 4700.000000 K
 188.4475     -1.320305407
 183.1165     -1.320012540
 177.8865     -1.318143324
 172.7240     -1.314646467
 167.6965     -1.311531536
 162.7700     -1.305010178
 153.2210     -1.290227131
 144.0095     -1.266371788
 135.2030     -1.234849972
 126.7675     -1.189617487
 118.6695     -1.129965505
 110.9430     -1.053931489
# T= 4800.000000 K
 188.4475     -1.333606467
 183.1165     -1.333173867
 177.8865     -1.331156569
 172.7240     -1.327495729
 167.6965     -1.324266440
 162.7700     -1.317590139
 153.2210     -1.302578634
 144.0095     -1.278502065
 135.2030     -1.246822983
 126.7675     -1.201433556
 118.6695     -1.141657566
 110.9430     -1.065563335
# T= 4900.000000 K
 188.4475     -1.346986555
 183.1165     -1.346414249
 177.8865     -1.344248908
 172.7240     -1.340423952
 167.6965     -1.337080378
 162.7700     -1.330249146
 153.2210     -1.315009156
 144.0095     -1.290711472
 135.2030     -1.258875033
 126.7675     -1.213328642
 118.6695     -1.153428435
 110.9430     -1.077273612
# T= 5000.000000 K
 188.4475     -1.360444061
 183.1165     -1.359732073
 177.8865     -1.357418732
 172.7240     -1.353429528
 167.6965     -1.349971743
 162.7700     -1.342985590
 153.2210     -1.327517086
 144.0095     -1.302998400
 135.2030     -1.271004516
 126.7675     -1.225301140
 118.6695     -1.165276513
 110.9430     -1.089060730
# T= 5100.000000 K
 188.4475     -1.373977437
 183.1165     -1.373125795
 177.8865     -1.370664493
 172.7240     -1.366510912
 167.6965     -1.362938988
 162.7700     -1.355797927
 153.2210     -1.340100883
 144.0095     -1.315361305
 135.2030     -1.283209890
 126.7675     -1.237349510
 118.6695     -1.177200265
 110.9430     -1.100923162
# T= 5200.000000 K
 188.4475     -1.387585200
 183.1165     -1.386593928
 177.8865     -1.383984706
 172.7240     -1.379666623
 167.6965     -1.375980630
 162.7700     -1.368684671
 153.2210     -1.352759063
 144.0095     -1.327798702
 135.2030     -1.295489672
 126.7675     -1.249472270
 118.6695     -1.189198216
 110.9430     -1.112859441
# T= 5300.000000 K
 188.4475     -1.401265920
 183.1165     -1.400135044
 177.8865     -1.397377940
 172.7240     -1.392895232
 167.6965     -1.389095240
 162.7700     -1.381644396
 153.2210     -1.365490198
 144.0095     -1.340309163
 135.2030     -1.307842437
 126.7675     -1.261667997
 118.6695     -1.201268945
 110.9430     -1.124868156
# T= 5400.000000 K
 188.4475     -1.415018223
 183.1165     -1.413747767
 177.8865     -1.410842820
 172.7240     -1.406195368
 167.6965     -1.402281444
 162.7700     -1.394675727
 153.2210     -1.378292917
 144.0095     -1.352891313
 135.2030     -1.320266813
 126.7675     -1.273935319
 118.6695     -1.213411087
 110.9430     -1.136947948
# T= 5500.000000 K
 188.4475     -1.428840785
 183.1165     -1.427430774
 177.8865     -1.424378022
 172.7240     -1.419565707
 167.6965     -1.415537920
 162.7700     -1.407777342
 153.2210     -1.391165896
 144.0095     -1.365543830
 135.2030     -1.332761479
 126.7675     -1.286272917
 118.6695     -1.225623326
 110.9430     -1.149097509
# T= 5600.000000 K
 188.4475     -1.442732330
 183.1165     -1.441182789
 177.8865     -1.437982269
 172.7240     -1.433004975
 167.6965     -1.428863392
 162.7700     -1.420947964
 153.2210     -1.404107862
 144.0095     -1.378265436
 135.2030     -1.345325161
 126.7675     -1.298679517
 118.6695     -1.237904393
 110.9430     -1.161315578
# T= 5700.000000 K
 188.4475     -1.456691628
 183.1165     -1.455002581
 177.8865     -1.451654331
 172.7240     -1.446511945
 167.6965     -1.442256630
 162.7700     -1.434186364
 153.2210     -1.417117586
 144.0095     -1.391054903
 135.2030     -1.357956630
 126.7675     -1.311153893
 118.6695     -1.250253064
 110.9430     -1.173600937
# T= 5800.000000 K
 188.4475     -1.470717492
 183.1165     -1.468888962
 177.8865     -1.465393018
 172.7240     -1.460085429
 167.6965     -1.455716447
 162.7700     -1.447491356
 153.2210     -1.430193881
 144.0095     -1.403911042
 135.2030     -1.370654702
 126.7675     -1.323694860
 118.6695     -1.262668160
 110.9430     -1.185952412
# T= 5900.000000 K
 188.4475     -1.484808776
 183.1165     -1.482840786
 177.8865     -1.479197184
 172.7240     -1.473724284
 167.6965     -1.469241697
 162.7700     -1.460861792
 153.2210     -1.443335602
 144.0095     -1.416832708
 135.2030     -1.383418230
 126.7675     -1.336301274
 118.6695     -1.275148538
 110.9430     -1.198368868
# T= 6000.000000 K
 188.4475     -1.498964372
 183.1165     -1.496856946
 177.8865     -1.493065721
 172.7240     -1.487427401
 167.6965     -1.482831274
 162.7700     -1.474296567
 153.2210     -1.456541642
 144.0095     -1.429818792
 135.2030     -1.396246110
 126.7675     -1.348972028
 118.6695     -1.287693099
 110.9430     -1.210849211
