# T (K)      C_V_V (J K^-1 mol^-1)
# V = 157.405100 (a.u.^3)
 4800.0     201.7860791662947
 4850.0     107.4028984632421
 4900.0     105.6339016600506
 4950.0     109.3487703731010
 5000.0     113.1169112428654
# V = 150.577690 (a.u.^3)
    0.0      -0.0000000000000
   50.0     129.7630492569751
  100.0     106.2220704337161
  150.0     126.6411576414037
  200.0     121.2427917241655
  250.0     124.2346554113181
  300.0     122.9068065687550
  350.0     126.1419891702835
  400.0     123.1794384774630
  450.0     121.7129435616807
  500.0     128.2381811205306
  550.0     122.7954349527214
  600.0     124.9453818780542
  650.0     124.4225744568091
  700.0     125.6930945813424
  750.0     118.1436757646255
  800.0     131.1967542200459
  850.0     122.7812917897085
  900.0     124.7267728404249
  950.0     125.9458735301228
 1000.0     123.0436989367460
 1050.0     125.0802996092148
 1100.0     124.3424320492588
 1150.0     125.1670925581485
 1200.0     122.8588008603514
 1250.0     131.2479565773281
 1300.0     116.3520770028945
 1350.0     133.7005220502907
 1400.0     126.6492370032344
 1450.0      75.2368649173458
 1500.0     205.0369392304291
 1550.0      70.6126127470581
 1600.0     143.1766233774684
 1650.0     121.5859765521806
 1700.0     123.9344071879427
 1750.0     124.8745898756705
 1800.0     124.4945162969565
 1850.0     125.0063204928665
 1900.0     123.9451430778179
 1950.0     126.7107240607470
 2000.0     143.7147275136127
 2050.0      96.9217633424045
 2100.0     138.1447256535770
 2150.0     106.5339558413547
 2200.0     141.8821016170894
 2250.0     119.5733248212924
 2300.0     121.7652650901342
 2350.0     132.1137719235388
 2400.0     113.8482624697032
 2450.0     133.7276327826305
 2500.0     117.9025715271853
 2550.0     127.6595290434477
 2600.0     120.7572218452274
 2650.0     139.3909197835223
 2700.0      41.6727291984396
 2750.0     527.5412408310302
 2800.0    -257.7934464589638
 2850.0     164.5206471553587
 2900.0     239.5221106505847
 2950.0    -399.3583528508998
 3000.0     662.3332799276459
 3050.0     -30.5895394328540
 3100.0     185.8885024168647
 3150.0      91.3192548837054
 3200.0     135.4743395746063
 3250.0     134.8383484158679
 3300.0     115.8279230865977
 3350.0     120.0406758759351
 3400.0     123.8953532103822
 3450.0     130.8842506667089
 3500.0     132.3341348198608
 3550.0      97.6501574903142
 3600.0     149.5129054960083
 3650.0     126.2491038645019
 3700.0     111.8697355685912
 3750.0     123.5916040130338
 3800.0     142.5816209366487
 3850.0      92.7535510162645
 3900.0     154.9155576938582
 3950.0     109.9762351437841
 4000.0     133.9130289113555
 4050.0     108.9100402517121
 4100.0     142.2485072910917
 4150.0     102.6885218747575
 4200.0     125.6644864466942
 4250.0     167.8788353190029
 4300.0      81.1072869125893
 4350.0     120.3172332298588
 4400.0     162.2867604751308
 4450.0      85.2173500951291
 4500.0     147.1901100375930
 4550.0     127.8187612535676
 4600.0     112.9163624679793
 4650.0     128.3597430365007
 4700.0     165.3434394644861
 4750.0      37.3922787167147
 4800.0     201.4623348367728
 4850.0     107.4591038542026
 4900.0     105.7255359454183
 4950.0     109.4287978360731
 5000.0     113.1850785124090
# V = 150.364333 (a.u.^3)
    0.0      -0.0000000000000
   50.0     129.6991649842014
  100.0     106.2443635075273
  150.0     126.6315480241964
  200.0     121.2405238563038
  250.0     124.2313470503776
  300.0     122.9238019015722
  350.0     126.1255062958272
  400.0     123.1678916580363
  450.0     121.7600971921093
  500.0     128.1869894463414
  550.0     122.8078153072480
  600.0     124.9419003200872
  650.0     124.4219312977068
  700.0     125.7025441496863
  750.0     118.1011891642426
  800.0     131.2453737349412
  850.0     122.7674062303655
  900.0     124.7305518319856
  950.0     125.9522215798155
 1000.0     123.0336894454234
 1050.0     125.0851342918617
 1100.0     124.3421403703940
 1150.0     125.1633027595525
 1200.0     122.8626987554579
 1250.0     131.2469237529955
 1300.0     116.3029488516268
 1350.0     133.9460355732409
 1400.0     126.4321101911698
 1450.0      75.1351273659880
 1500.0     205.1137531400397
 1550.0      70.6893829052402
 1600.0     143.1508217737604
 1650.0     121.5291293215562
 1700.0     124.0002682390930
 1750.0     124.8564904056918
 1800.0     124.4998998075410
 1850.0     125.0047731667703
 1900.0     123.9256233841943
 1950.0     126.8107126219914
 2000.0     143.4268119401913
 2050.0      97.1756107621661
 2100.0     138.1111390150556
 2150.0     106.5204328135972
 2200.0     142.0317587872299
 2250.0     119.2544280585034
 2300.0     121.8866049920634
 2350.0     132.2093233868111
 2400.0     113.7769564700018
 2450.0     133.7420264285126
 2500.0     117.9891852332906
 2550.0     127.7903776132880
 2600.0     120.2327196917048
 2650.0     139.4718646077239
 2700.0      43.4450720578614
 2750.0     519.9120808847526
 2800.0    -249.9200793050267
 2850.0     162.7680025023047
 2900.0     238.0431869844114
 2950.0    -391.6290584917137
 3000.0     654.3005179798089
 3050.0     -28.2841846589460
 3100.0     185.2219939630500
 3150.0      91.4820401411452
 3200.0     135.4168408541619
 3250.0     134.8669223960457
 3300.0     115.7795356069106
 3350.0     120.0779344198532
 3400.0     124.0013792337462
 3450.0     130.6360710249143
 3500.0     132.8144870884741
 3550.0      96.9643038685754
 3600.0     150.0193979748170
 3650.0     126.1154049284685
 3700.0     111.6574839783137
 3750.0     123.8237245645271
 3800.0     142.6153970374645
 3850.0      92.8367694142353
 3900.0     154.6598656829001
 3950.0     110.0309598095237
 4000.0     133.8665841879611
 4050.0     109.1827622361575
 4100.0     141.7747655346323
 4150.0     102.9417689787360
 4200.0     125.7351601968439
 4250.0     167.8646252456332
 4300.0      81.1319850219101
 4350.0     120.1762694202413
 4400.0     162.4167153133656
 4450.0      85.2959501801869
 4500.0     147.1050346390051
 4550.0     127.5874380459816
 4600.0     113.1697394166805
 4650.0     128.3745866872987
 4700.0     165.0008832405412
 4750.0      37.9816071761415
 4800.0     200.9687605329595
 4850.0     107.5489828206311
 4900.0     105.8621797727059
 4950.0     109.5467740682463
 5000.0     113.2839818581571
# V = 150.150977 (a.u.^3)
    0.0      -0.0000000000000
   50.0     129.6350727237352
  100.0     106.2664861431424
  150.0     126.6227553947280
  200.0     121.2372430436498
  250.0     124.2277608198586
  300.0     122.9449244536506
  350.0     126.1041598654638
  400.0     123.1549767682807
  450.0     121.8189821823349
  500.0     128.1223188994317
  550.0     122.8241073306866
  600.0     124.9373568083910
