# T (K)     Thermal pressure (GPa)
# V=  41.1649000000000
 4700.0     -24.2577173222861
 4750.0     -24.6117043246438
 4800.0     -24.9655255615764
 4850.0     -25.3206551384346
 4900.0     -25.6765282364495
 4950.0     -26.0329438478434
 5000.0     -26.3901661728738
# V=  40.6304838383838
    0.0       0.0000000000000
   50.0       0.0888644439965
  100.0       0.1651453328009
  150.0       0.2163404199397
  200.0       0.2205543706608
  250.0       0.2737011936906
  300.0       0.2960940819464
  350.0       0.1967397843086
  400.0       0.2299344586904
  450.0       0.1597588363705
  500.0       0.2670833646206
  550.0       0.1980233057623
  600.0       0.1353165552017
  650.0       0.0638141562024
  700.0      -0.0230645977350
  750.0      -0.1292059318307
  800.0      -0.2421485111994
  850.0      -0.3912440647262
  900.0      -0.6004603236576
  950.0      -0.8211764543275
 1000.0      -1.6475855824143
 1050.0      -1.7549992260655
 1100.0      -1.8147436673507
 1150.0      -1.8641481008309
 1200.0      -1.9944453758097
 1250.0      -2.2205555156168
 1300.0      -2.4648457116986
 1350.0      -2.7099448303157
 1400.0      -2.9595584079250
 1450.0      -3.2109524643748
 1500.0      -3.4655693903691
 1550.0      -3.7215607579010
 1600.0      -3.9802623507321
 1650.0      -4.2406343285855
 1700.0      -4.5041560740804
 1750.0      -4.7690028160698
 1800.0      -5.0361510512803
 1850.0      -5.3049141754749
 1900.0      -5.5764460179238
 1950.0      -5.8488919608029
 2000.0      -6.1239006839450
 2050.0      -6.3994556053672
 2100.0      -6.6775129277546
 2150.0      -6.9568929356627
 2200.0      -7.2393136381422
 2250.0      -7.5218648861508
 2300.0      -7.8062489977976
 2350.0      -8.0925725841080
 2400.0      -8.3802082360750
 2450.0      -8.6689263996765
 2500.0      -8.9596994559823
 2550.0      -9.2520544433544
 2600.0      -9.5454846705509
 2650.0      -9.8396359338626
 2700.0     -10.1359293066881
 2750.0     -10.4332753975498
 2800.0     -10.7316660731259
 2850.0     -11.0315431581515
 2900.0     -11.3327759396946
 2950.0     -11.6353642952655
 3000.0     -11.9379451422128
 3050.0     -12.2429614821220
 3100.0     -12.5491468686155
 3150.0     -12.8558403794813
 3200.0     -13.1640600763124
 3250.0     -13.4736203544217
 3300.0     -13.7835270213919
 3350.0     -14.0947697089375
 3400.0     -14.4071969461911
 3450.0     -14.7205824006122
 3500.0     -15.0346203458653
 3550.0     -15.3503295948142
 3600.0     -15.6672032479845
 3650.0     -15.9842319364749
 3700.0     -16.3026563633933
 3750.0     -16.6221827369922
 3800.0     -16.9422641648825
 3850.0     -17.2634790764899
 3900.0     -17.5857816075560
 3950.0     -17.9087890591646
 4000.0     -18.2327913809672
 4050.0     -18.5576243304953
 4100.0     -18.8833420441500
 4150.0     -19.2098154585292
 4200.0     -19.5370896376240
 4250.0     -19.8655178297237
 4300.0     -20.1944138511395
 4350.0     -20.5242793873640
 4400.0     -20.8550323702417
 4450.0     -21.1864487577910
 4500.0     -21.5186388541046
 4550.0     -21.8519597658990
 4600.0     -22.1858573493905
 4650.0     -22.5202939798003
 4700.0     -22.8556696393529
 4750.0     -23.1922130164755
 4800.0     -23.5286269423112
 4850.0     -23.8663069817608
 4900.0     -24.2047177483090
 4950.0     -24.5436686172291
 5000.0     -24.8834099943871
# V=  40.5636818181818
    0.0       0.0000000000000
   50.0       0.0926357982971
  100.0       0.1744521964374
  150.0       0.2312375621776
  200.0       0.2428306078122
  250.0       0.2998182123523
  300.0       0.3273011390964
  350.0       0.2395328561796
  400.0       0.2765120320987
  450.0       0.2152760817061
  500.0       0.3214665423714
  550.0       0.2608971813847
  600.0       0.2061253027186
  650.0       0.1427386848593
  700.0       0.0646323716296
  750.0      -0.0318746754702
  800.0      -0.1349714524835
  850.0      -0.2723773567659
  900.0      -0.4667081181549
  950.0      -0.6720834240903
 1000.0      -1.4497896585215
 1050.0      -1.5484201231939
 1100.0      -1.6021769126855
 1150.0      -1.6462012273701
 1200.0      -1.7668010759522
 1250.0      -1.9780370199410
 1300.0      -2.2065523936503
 1350.0      -2.4359393801669
 1400.0      -2.6696874276355
