# V (a.u.^3)  Helmholtz Free Energy (Ry.)
# T= 0.000000 K
 114.8570     -1.131627040
# T= 5100.000000 K
 188.6160     -1.379819124
 178.0210     -1.376044088
 167.8990     -1.354164255
 162.9050     -1.351133164
 158.1140     -1.342187279
 153.3900     -1.335875443
 148.7330     -1.323859693
 144.1450     -1.312268213
 139.6910     -1.296311818
 135.3720     -1.279817750
 131.0530     -1.258599947
 126.8690     -1.236246835
 122.7520     -1.207003292
 118.7710     -1.180479397
 114.8570     -1.143579462
# T= 5200.000000 K
 188.6160     -1.393563976
 178.0210     -1.389488349
 167.8990     -1.367056696
 162.9050     -1.363949069
 158.1140     -1.354847744
 153.3900     -1.348472423
 148.7330     -1.336324721
 144.1450     -1.324653220
 139.6910     -1.308599294
 135.3720     -1.292043981
 131.0530     -1.270748359
 126.8690     -1.248361799
 122.7520     -1.219035633
 118.7710     -1.192568363
 114.8570     -1.155606008
# T= 5300.000000 K
 188.6160     -1.407381839
 178.0210     -1.403005610
 167.8990     -1.380022161
 162.9050     -1.376837971
 158.1140     -1.367581200
 153.3900     -1.361142404
 148.7330     -1.348862726
 144.1450     -1.337111094
 139.6910     -1.320959754
 135.3720     -1.304343100
 131.0530     -1.282969701
 126.8690     -1.260549669
 122.7520     -1.231140903
 118.7710     -1.204730312
 114.8570     -1.167705263
# T= 5400.000000 K
 188.6160     -1.421271336
 178.0210     -1.416594495
 167.8990     -1.393059275
 162.9050     -1.389798495
 158.1140     -1.380386273
 153.3900     -1.373884011
 148.7330     -1.361472334
 144.1450     -1.349640463
 139.6910     -1.333391827
 135.3720     -1.316713736
 131.0530     -1.295262600
 126.8690     -1.272809076
 122.7520     -1.243317732
 118.7710     -1.216963873
 114.8570     -1.179875860
# T= 5500.000000 K
 188.6160     -1.435231144
 178.0210     -1.430253681
 167.8990     -1.406166714
 162.9050     -1.402829319
 158.1140     -1.393261640
 153.3900     -1.386695922
 148.7330     -1.374152223
 144.1450     -1.362240007
 139.6910     -1.345894191
 135.3720     -1.329154571
 131.0530     -1.307625738
 126.8690     -1.285138698
 122.7520     -1.255564801
 118.7710     -1.229267727
 114.8570     -1.192116485
# T= 5600.000000 K
 188.6160     -1.449259984
 178.0210     -1.443981891
 167.8990     -1.419343202
 162.9050     -1.415929165
 158.1140     -1.406206026
 153.3900     -1.399576861
 148.7330     -1.386901118
 144.1450     -1.374908454
 139.6910     -1.358465571
 135.3720     -1.341664331
 131.0530     -1.320057841
 126.8690     -1.297537266
 122.7520     -1.267880838
 118.7710     -1.241640601
 114.8570     -1.204425872
# T= 5700.000000 K
 188.6160     -1.463356627
 178.0210     -1.457777893
 167.8990     -1.432587507
 162.9050     -1.429096805
 158.1140     -1.419218201
 153.3900     -1.412525598
 148.7330     -1.399717791
 144.1450     -1.387644577
 139.6910     -1.371104738
 135.3720     -1.354241790
 131.0530     -1.332557683
 126.8690     -1.310003552
 122.7520     -1.280264617
 118.7710     -1.254081269
 114.8570     -1.216802799
# T= 5800.000000 K
 188.6160     -1.477519884
 178.0210     -1.471640502
 167.8990     -1.445898442
 162.9050     -1.442331051
 158.1140     -1.432296978
 153.3900     -1.425540947
 148.7330     -1.412601055
 144.1450     -1.400447192
 139.6910     -1.383810508
 135.3720     -1.366885764
 131.0530     -1.345124078
 126.8690     -1.322536373
 122.7520     -1.292714953
 118.7710     -1.266588546
 114.8570     -1.229246087
# T= 5900.000000 K
 188.6160     -1.491748607
 178.0210     -1.485568568
 167.8990     -1.459274860
 162.9050     -1.455630757
 158.1140     -1.445441211
 153.3900     -1.438621761
 148.7330     -1.425549765
 144.1450     -1.413315156
 139.6910     -1.396581733
 135.3720     -1.379595109
 131.0530     -1.357755884
 126.8690     -1.335134585
 122.7520     -1.305230704
 118.7710     -1.279161288
 114.8570     -1.241754595
# T= 6000.000000 K
 188.6160     -1.506041688
 178.0210     -1.499560985
 167.8990     -1.472715653
 162.9050     -1.468994814
 158.1140     -1.458649792
 153.3900     -1.451766933
 148.7330     -1.438562813
 144.1450     -1.426247362
 139.6910     -1.409417309
 135.3720     -1.392368722
 131.0530     -1.370451994
 126.8690     -1.347797084
 122.7520     -1.317810765
 118.7710     -1.291798391
 114.8570     -1.254327224
