# P (GPa)             Gibbs free energy (Ry.)
# T= 0.000000 K
    0.0      -0.9218563589381
    1.0      -0.9104603807761
    2.0      -0.8991375752599
    3.0      -0.8878855502410
    4.0      -0.8767020512878
    5.0      -0.8655849503339
    6.0      -0.8545322363310
    7.0      -0.8435420056472
    8.0      -0.8326124539658
    9.0      -0.8217418690709
   10.0      -0.8109286242897
   11.0      -0.8001711723592
   12.0      -0.7894680398983
   13.0      -0.7788178224276
   14.0      -0.7682191798095
   15.0      -0.7576708320718
   16.0      -0.7471715555761
   17.0      -0.7367201794979
   18.0      -0.7263155825857
   19.0      -0.7159566901675
   20.0      -0.7056424713790
   21.0      -0.6953719366702
   22.0      -0.6851441355296
   23.0      -0.6749581542383
   24.0      -0.6648131137888
   25.0      -0.6547081679147
   26.0      -0.6446425013123
   27.0      -0.6346153285451
   28.0      -0.6246258922321
   29.0      -0.6146734612057
   30.0      -0.6047573292142
   31.0      -0.5948768147744
   32.0      -0.5850312590581
   33.0      -0.5752200241832
   34.0      -0.5654424937942
   35.0      -0.5556980714573
   36.0      -0.5459861784149
   37.0      -0.5363062551540
   38.0      -0.5266577590582
   39.0      -0.5170401629648
   40.0      -0.5074529572499
# T= 1100.000000 K
    0.0      -0.9288660135504
    1.0      -0.9174343084463
    2.0      -0.9060775728642
    3.0      -0.8947932945595
    4.0      -0.8835791091864
    5.0      -0.8724327889620
    6.0      -0.8613522306826
    7.0      -0.8503354461430
    8.0      -0.8393805536092
    9.0      -0.8284857694025
   10.0      -0.8176494006806
   11.0      -0.8068698389503
   12.0      -0.7961455541391
   13.0      -0.7854750891820
   14.0      -0.7748570550758
   15.0      -0.7642901263622
   16.0      -0.7537730369978
   17.0      -0.7433045765745
   18.0      -0.7328835868540
   19.0      -0.7225089585846
   20.0      -0.7121796285671
   21.0      -0.7018945769409
   22.0      -0.6916528246625
   23.0      -0.6814534311497
   24.0      -0.6712954920671
   25.0      -0.6611781373474
   26.0      -0.6511005296995
   27.0      -0.6410618626286
   28.0      -0.6310613585813
   29.0      -0.6210982673291
   30.0      -0.6111718653902
   31.0      -0.6012814544181
   32.0      -0.5914263591544
   33.0      -0.5816059268744
   34.0      -0.5718195272750
   35.0      -0.5620665496734
   36.0      -0.5523464027089
   37.0      -0.5426585149055
   38.0      -0.5330023312222
   39.0      -0.5233773141710
   40.0      -0.5137829432023
# T= 1200.000000 K
    0.0      -0.9362315398405
    1.0      -0.9247627338665
    2.0      -0.9133707946035
    3.0      -0.9020530796246
    4.0      -0.8908071071284
    5.0      -0.8796305411434
    6.0      -0.8685211799843
    7.0      -0.8574769454940
    8.0      -0.8464958727599
    9.0      -0.8355761015898
   10.0      -0.8247158688478
   11.0      -0.8139135011234
   12.0      -0.8031674082148
   13.0      -0.7924760773037
   14.0      -0.7818380676347
   15.0      -0.7712520056529
   16.0      -0.7607165805587
   17.0      -0.7502305402404
   18.0      -0.7397926875456
   19.0      -0.7294018768583
   20.0      -0.7190570109459
   21.0      -0.7087570380473
   22.0      -0.6985009491702
   23.0      -0.6882877755767
   24.0      -0.6781165866104
   25.0      -0.6679864876774
   26.0      -0.6578966181062
   27.0      -0.6478461491990
   28.0      -0.6378342824061
   29.0      -0.6278602482817
   30.0      -0.6179233050172
   31.0      -0.6080227363637
   32.0      -0.5981578502956
   33.0      -0.5883279791051
   34.0      -0.5785324772408
   35.0      -0.5687707195006
   36.0      -0.5590421019557
   37.0      -0.5493460399494
   38.0      -0.5396819660863
   39.0      -0.5300493321744
   40.0      -0.5204476059005
# T= 1300.000000 K
    0.0      -0.9439268733486
    1.0      -0.9324195462602
    2.0      -0.9209910905549
    3.0      -0.9096387239188
    4.0      -0.8983598369074
    5.0      -0.8871519776782
    6.0      -0.8760128390119
    7.0      -0.8649402454970
    8.0      -0.8539321436214
    9.0      -0.8429865919438
   10.0      -0.8321017522070
   11.0      -0.8212758816961
   12.0      -0.8105073262781
   13.0      -0.7997945140621
   14.0      -0.7891359495363
   15.0      -0.7785302083009
   16.0      -0.7679759322848
   17.0      -0.7574718253702
   18.0      -0.7470166493820
   19.0      -0.7366092204080
   20.0      -0.7262484054121
   21.0      -0.7159331191125
   22.0      -0.7056623211624
   23.0      -0.6954350135497
   24.0      -0.6852502381190
   25.0      -0.6751070742714
   26.0      -0.6650046367948
   27.0      -0.6549420738337
   28.0      -0.6449185654758
   29.0      -0.6349333220981
   30.0      -0.6249855823186
   31.0      -0.6150746113368
   32.0      -0.6051997004544
   33.0      -0.5953601656953
   34.0      -0.5855553455103
   35.0      -0.5757846004076
   36.0      -0.5660473128944
   37.0      -0.5563428844193
   38.0      -0.5466707356344
   39.0      -0.5370303064912
   40.0      -0.5274210527104
# T= 1400.000000 K
    0.0      -0.9519299004981
    1.0      -0.9403825703357
    2.0      -0.9289162328489
    3.0      -0.9175279541348
    4.0      -0.9062149867842
    5.0      -0.8949747544099
    6.0      -0.8838048353948
    7.0      -0.8727029508749
    8.0      -0.8616669522976
    9.0      -0.8506948107392
   10.0      -0.8397846079516
   11.0      -0.8289345277054
   12.0      -0.8181428479434
   13.0      -0.8074079339330
   14.0      -0.7967282320272
   15.0      -0.7861022639741
   16.0      -0.7755286217275
   17.0      -0.7650059627124
   18.0      -0.7545330055018
   19.0      -0.7441085258651
   20.0      -0.7337313531485
   21.0      -0.7234003669520
   22.0      -0.7131144940680
   23.0      -0.7028727056512
   24.0      -0.6926740145873
   25.0      -0.6825174730344
   26.0      -0.6724021701650
   27.0      -0.6623272304133
